year,weekly_nominal_earnings,major_group,series_id,ai_exposure_mean,ai_exposure_median,n_soc_occupations,wage_growth_yoy,cum_growth_since_start
2000,810,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,,0.0
2001,836,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.032098765432098775,0.032098765432098775
2002,859,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.027511961722487932,0.060493827160493785
2003,887,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.03259604190919685,0.09506172839506166
2004,918,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.03494926719278468,0.1333333333333333
2005,937,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.020697167755991286,0.1567901234567901
2006,967,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.03201707577374591,0.1938271604938271
2007,996,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.02998965873836612,0.22962962962962963
2008,1025,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.029116465863453733,0.26543209876543217
2009,1044,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.018536585365853675,0.288888888888889
2010,1063,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.01819923371647514,0.3123456790123458
2011,1082,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.017873941674506177,0.33580246913580236
2012,1108,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.02402957486136792,0.36790123456790114
2013,1132,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.02166064981949467,0.3975308641975308
2014,1137,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.004416961130742081,0.4037037037037037
2015,1158,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.01846965699208436,0.4296296296296296
2016,1188,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.02590673575129543,0.46666666666666656
2017,1224,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.030303030303030276,0.5111111111111111
2018,1246,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.017973856209150263,0.5382716049382716
2019,1309,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.050561797752809,0.6160493827160494
2020,1356,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.0359052711993888,0.674074074074074
2021,1390,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.025073746312684442,0.7160493827160495
2022,1465,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.05395683453237421,0.808641975308642
2023,1527,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.04232081911262808,0.8851851851851851
2024,1582,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.036018336607727575,0.9530864197530864
2025,1645,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.03982300884955747,1.0308641975308643
2000,582,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,,0.0
2001,599,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.029209621993127044,0.029209621993127044
2002,597,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,-0.0033388981636059967,0.025773195876288568
2003,608,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.018425460636515956,0.04467353951890041
