term,coef,se_hc1,t,ci95_low,ci95_high,n_obs
const,0.04080356230295101,0.005311090191035322,7.682709356324626,0.03039382552852178,0.051213299077380245,125
ai_exposure_x_post2022,-0.001272686300165058,0.0028355110875513214,-0.4488384142641879,-0.006830288031765648,0.004284915431435532,125
"g_Natural resources, construction, and maintenance occupations",-0.003210082705682238,0.003122950042974601,-1.0279007545777592,-0.009331064789912455,0.00291089937854798,125
"g_Production, transportation, and material moving occupations",-0.002018260367793928,0.0031179599224773766,-0.6473015747393951,-0.008129461815849587,0.00409294108026173,125
g_Sales and office occupations,0.00048521479554752833,0.002794624160020974,0.17362434723382866,-0.00499224855809358,0.005962678149188637,125
g_Service occupations,0.002541848923775125,0.00356204966841803,0.7135916565992202,-0.004439768426324213,0.009523466273874463,125
year_2002,-0.018053771483885428,0.007973840716113222,-2.2641249213071286,-0.033682499287467346,-0.002425043680303513,125
year_2003,-0.01666141738314958,0.006395368135896728,-2.605231947419927,-0.029196338929507168,-0.0041264958367919925,125
year_2004,-0.01881484585831039,0.00662747912856273,-2.8389143886131976,-0.03180470495029335,-0.00582498676632744,125
year_2005,-0.022012368500834878,0.008226642043499393,-2.675741619052068,-0.038136586906093686,-0.00588815009557607,125
year_2006,-0.008804857633204932,0.007579781118619417,-1.1616242600430988,-0.02366122862569899,0.006051513359289124,125
year_2007,-0.0037554040650292775,0.011252145018290737,-0.3337500591153725,-0.02580960830087912,0.018298800170820567,125
year_2008,-0.0044929549029998905,0.007000857945385365,-0.6417720425196507,-0.018214636475955205,0.009228726669955424,125
year_2009,-0.026956914979607782,0.008780969362040796,-3.069924727916679,-0.044167614929207746,-0.009746215030007822,125
year_2010,-0.03263355378557331,0.007059000377111694,-4.622970965037101,-0.04646919452471223,-0.01879791304643439,125
year_2011,-0.024692030198273984,0.005471971104285028,-4.512456247975795,-0.03541709356267264,-0.01396696683387533,125
year_2012,-0.023527859764464865,0.00790195806438341,-2.977472111692451,-0.03901569757065635,-0.00804002195827338,125
year_2013,-0.030580479919901427,0.006596730063948939,-4.635702783569003,-0.04351007084524135,-0.017650888994561506,125
year_2014,-0.02331440551339159,0.0075066734942446115,-3.1058238421141953,-0.038027485562111024,-0.008601325464672151,125
year_2015,-0.027298992476497752,0.00610629841712163,-4.470628621744607,-0.03926733737405615,-0.015330647578939358,125
year_2016,-0.012937351785462292,0.006446137697426822,-2.0069927750110956,-0.025571781672418865,-0.0003029218985057206,125
year_2017,-0.008604353966491285,0.006246853472347289,-1.3773900739916272,-0.02084818677229197,0.0036394788393094013,125
year_2018,-0.010814040362134458,0.0067367035412408596,-1.6052421330303306,-0.024017979302966543,0.002389898578697626,125
year_2019,-0.0012738811691279106,0.008491964538048272,-0.15001018473643904,-0.017918131663702524,0.015370369325446703,125
year_2020,0.0035838550956183157,0.008359034978294044,0.4287402917830268,-0.012799853461838012,0.019967563653074644,125
year_2021,-0.013137805290698912,0.00653707843177532,-2.009736524934272,-0.02595047901697854,-0.00032513156441928495,125
year_2022,0.021858812298250818,0.006981439872192615,3.130989122360767,0.008175190148753293,0.03554243444774834,125
year_2023,0.003654918635450588,0.0069140824776020675,0.5286194729800477,-0.009896683020649465,0.01720652029155064,125
year_2024,-0.001016463495017439,0.00633770924473458,-0.160383421795805,-0.013438373614697217,0.011405446624662339,125
year_2025,0.004060398904175588,0.006278657049714396,0.6466986287075973,-0.008245768913264628,0.016366566721615804,125
